id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,popularity,release_decade,detailed_mood,instrumentalness,liveness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,85,2010,euphoric,0.08,0.07
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,52,2010,dreamy,0.82,0.05
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,76,2000,aggressive,0.05,0.12
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,48,2010,peaceful,0.88,0.04
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,82,2010,empowering,0.06,0.09
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,45,2010,dreamy,0.91,0.06
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,58,2000,nostalgic,0.65,0.35
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,70,2010,tense,0.15,0.08
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,50,2010,peaceful,0.85,0.04
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,78,2010,euphoric,0.10,0.12
11,Autumn Sonata,Clara Voss,classical,melancholic,0.21,66,0.32,0.18,0.97,55,1990,melancholic,0.93,0.22
12,Block Party,Dre Wavez,hip-hop,energetic,0.87,96,0.78,0.91,0.08,84,2010,empowering,0.05,0.15
13,Shatter the Sky,Iron Hollow,metal,angry,0.97,172,0.29,0.55,0.04,72,2000,aggressive,0.04,0.20
14,Porch Swing Dusk,Hattie Lane,country,romantic,0.44,88,0.74,0.61,0.83,62,2000,nostalgic,0.28,0.32
15,Velvet and Rain,Solène,R&B,sad,0.52,74,0.31,0.63,0.47,68,2010,melancholic,0.12,0.10
16,Drop the Grid,Voltage,electronic,energetic,0.95,142,0.68,0.94,0.03,80,2010,euphoric,0.22,0.08
17,Wildflower Road,Cedar & Pine,folk,uplifting,0.38,104,0.79,0.49,0.91,60,2000,peaceful,0.45,0.40
18,Blue Hour Letters,Mara Solis,R&B,romantic,0.55,82,0.62,0.58,0.41,70,2010,nostalgic,0.14,0.11
